config,workload,ramulator.normalized_ipc,nrh
Graphene1000,541.leela,1.0,1000
Graphene500,541.leela,1.0,500
Graphene250,541.leela,1.0,250
Graphene125,541.leela,1.0,125
Hydra1000,541.leela,1.0,1000
Hydra500,541.leela,1.0,500
Hydra250,541.leela,1.0,250
Hydra125,541.leela,1.0,125
REGA1000,541.leela,1.0,1000
REGA500,541.leela,0.9999986103768239,500
REGA250,541.leela,0.9999937930463814,250
REGA125,541.leela,1.00007865896781,125
PARA1000,541.leela,0.9999208902694123,1000
PARA500,541.leela,0.9998595749444724,500
PARA250,541.leela,0.9998732822496535,250
PARA125,541.leela,0.9994891569795694,125
Baseline0,tpch2,1.0,0
CoMeT125,tpch2,0.878112257575644,125
CoMeT250,tpch2,0.9593168518710041,250
CoMeT500,tpch2,0.9913257764702902,500
CoMeT1000,tpch2,1.0,1000
Graphene1000,tpch2,1.0,1000
Graphene500,tpch2,0.9966154140024316,500
Graphene250,tpch2,0.9815675810800665,250
Graphene125,tpch2,0.9565791390699871,125
Hydra1000,tpch2,0.9924974751718897,1000
Hydra500,tpch2,0.9592522414652277,500
Hydra250,tpch2,0.9258307205794268,250
Hydra125,tpch2,0.8999485095844518,125
REGA1000,tpch2,1.0,1000
REGA500,tpch2,0.9811779852012735,500
REGA250,tpch2,0.9039465435215881,250
REGA125,tpch2,0.7358645965107321,125
PARA1000,tpch2,0.9192400226685522,1000
PARA500,tpch2,0.8456439540656385,500
PARA250,tpch2,0.7128114808941538,250
PARA125,tpch2,0.4801565676234264,125
Baseline0,437.leslie3d,1.0,0
CoMeT125,437.leslie3d,0.8761298252944861,125
CoMeT250,437.leslie3d,0.939668339943096,250
CoMeT500,437.leslie3d,0.98127912852618,500
CoMeT1000,437.leslie3d,0.9958661247987853,1000
Graphene1000,437.leslie3d,0.9980326058617024,1000
Graphene500,437.leslie3d,0.9885523944792967,500
Graphene250,437.leslie3d,0.9723731249832706,250
Graphene125,437.leslie3d,0.9398054269049544,125
Hydra1000,437.leslie3d,0.9740931067926978,1000
Hydra500,437.leslie3d,0.9502862165778204,500
Hydra250,437.leslie3d,0.9225493801647308,250
Hydra125,437.leslie3d,0.8471133764578077,125
REGA1000,437.leslie3d,1.0,1000
REGA500,437.leslie3d,0.9660636181674177,500
REGA250,437.leslie3d,0.8638469428383776,250
REGA125,437.leslie3d,0.6734106861005212,125
PARA1000,437.leslie3d,0.8984656541603635,1000
PARA500,437.leslie3d,0.8100478694360279,500
PARA250,437.leslie3d,0.6612325157502473,250
PARA125,437.leslie3d,0.4262428297696893,125
Baseline0,458.sjeng,1.0,0
CoMeT125,458.sjeng,1.0,125
CoMeT250,458.sjeng,1.0,250
CoMeT500,458.sjeng,1.0,500
CoMeT1000,458.sjeng,1.0,1000
Graphene1000,458.sjeng,1.0,1000
Graphene500,458.sjeng,1.0,500
Graphene250,458.sjeng,1.0,250
Graphene125,458.sjeng,1.0,125
Hydra1000,458.sjeng,1.0,1000
Hydra500,458.sjeng,1.0,500
Hydra250,458.sjeng,1.0,250
Hydra125,458.sjeng,1.0,125
REGA1000,458.sjeng,1.0,1000
